0x08, 0x1C, 			/* (0) IC 1.CoreRegister */
0x00, 0x18, 
0x04, 0x00, 			/* (1) Program Data */
0x00, 0x00, 0x00, 0x00, 0x01, 
0x00, 0x00, 0x00, 0xE8, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x00, 0x08, 0x00, 0xE8, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x00, 0x10, 0x00, 0xE8, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x00, 0x18, 0x00, 0xE8, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x00, 0x20, 0x00, 0xE8, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x00, 0x28, 0x00, 0xE8, 0x01, 
0xFF, 0xF6, 0x15, 0x20, 0x01, 
0x00, 0x30, 0x00, 0xE2, 0x01, 
0x00, 0x02, 0x00, 0x20, 0x01, 
0x00, 0x38, 0x00, 0xE2, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x00, 0x0A, 0x01, 0x20, 0x01, 
0x00, 0x40, 0x00, 0xE2, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x00, 0x31, 0x08, 0x20, 0x01, 
0x00, 0x48, 0x00, 0xE2, 0x01, 
0xFF, 0xF2, 0x02, 0x20, 0x01, 
0x00, 0x78, 0x00, 0xE2, 0x01, 
0x00, 0x39, 0x08, 0x20, 0x01, 
0x00, 0x50, 0x00, 0xE2, 0x01, 
0x00, 0x41, 0x08, 0x20, 0x01, 
0x00, 0x60, 0x00, 0xE2, 0x01, 
0x00, 0x11, 0x08, 0x20, 0x01, 
0x00, 0x58, 0x00, 0xE2, 0x01, 
0x00, 0x19, 0x08, 0x20, 0x01, 
0x00, 0x68, 0x00, 0xE2, 0x01, 
0xFF, 0xE9, 0x08, 0x20, 0x01, 
0x00, 0xD0, 0x00, 0xE2, 0x01, 
0x00, 0x71, 0x08, 0x20, 0x01, 
0x00, 0x79, 0x08, 0x22, 0x49, 
0xFF, 0xF1, 0x08, 0x20, 0x26, 
0x00, 0xD0, 0x00, 0xE2, 0x01, 
0x00, 0x91, 0x08, 0x20, 0x01, 
0xFF, 0xF1, 0x13, 0x22, 0x49, 
0x00, 0x71, 0x08, 0x20, 0x01, 
0x00, 0xB1, 0x08, 0x20, 0x25, 
0x00, 0xB8, 0x00, 0xE2, 0x01, 
0x00, 0xA1, 0x08, 0x20, 0x01, 
0xFF, 0xF1, 0x13, 0x22, 0x49, 
0x00, 0x71, 0x08, 0x20, 0x01, 
0x00, 0xC1, 0x08, 0x20, 0x25, 
0x00, 0xC8, 0x00, 0xE2, 0x01, 
0x00, 0xD9, 0x08, 0x20, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x00, 0xE8, 0x00, 0xF0, 0x01, 
0x00, 0xE9, 0x08, 0x20, 0x01, 
0xFF, 0xF1, 0x13, 0x22, 0x49, 
0x00, 0xD1, 0x08, 0x20, 0x01, 
0xFF, 0xE9, 0x08, 0x20, 0x25, 
0x00, 0xD0, 0x00, 0xE2, 0x01, 
0x00, 0x71, 0x08, 0x20, 0x01, 
0x00, 0x78, 0x00, 0xE2, 0x25, 
0x00, 0x81, 0x08, 0x20, 0x01, 
0x00, 0x91, 0x08, 0x22, 0x41, 
0x00, 0xE0, 0x00, 0xE2, 0x01, 
0x00, 0x91, 0x08, 0x20, 0x01, 
0x00, 0xE1, 0x14, 0x22, 0x01, 
0x00, 0x98, 0x00, 0xE2, 0x01, 
0x00, 0xB8, 0x00, 0xC0, 0x01, 
0x00, 0x07, 0xFF, 0xA0, 0x01, 
0x00, 0x98, 0x00, 0xC0, 0x01, 
0x00, 0x57, 0xFF, 0x20, 0x81, 
0x01, 0xB0, 0x00, 0xE2, 0x01, 
0x00, 0x67, 0xFF, 0x40, 0x81, 
0x02, 0x58, 0x00, 0xE4, 0x01, 
0xFF, 0xF1, 0x08, 0x20, 0x01, 
0xFF, 0xF7, 0xFF, 0x22, 0x41, 
0x00, 0xA8, 0x00, 0xE2, 0x01, 
0x00, 0xC8, 0x00, 0xC0, 0x01, 
0x00, 0x07, 0xFF, 0xA0, 0x01, 
0x00, 0xA8, 0x00, 0xC0, 0x01, 
0x00, 0x57, 0xFF, 0x20, 0x81, 
0x01, 0xB1, 0x08, 0x22, 0x01, 
0x01, 0xB0, 0x00, 0xE2, 0x01, 
0x00, 0x67, 0xFF, 0x40, 0x81, 
0x02, 0x59, 0x08, 0x44, 0x01, 
0x02, 0x58, 0x00, 0xE4, 0x01, 
0x00, 0x81, 0x08, 0x20, 0x01, 
0x00, 0xD1, 0x08, 0x22, 0x41, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x00, 0x88, 0x00, 0xF0, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0xFF, 0xF2, 0x03, 0x20, 0x01, 
0x01, 0x28, 0x00, 0xE2, 0x01, 
0x00, 0x39, 0x08, 0x20, 0x01, 
0x01, 0x00, 0x00, 0xE2, 0x01, 
0x00, 0x41, 0x08, 0x20, 0x01, 
0x01, 0x10, 0x00, 0xE2, 0x01, 
0x00, 0x21, 0x08, 0x20, 0x01, 
0x01, 0x08, 0x00, 0xE2, 0x01, 
0x00, 0x29, 0x08, 0x20, 0x01, 
0x01, 0x18, 0x00, 0xE2, 0x01, 
0xFF, 0xE9, 0x08, 0x20, 0x01, 
0x01, 0x80, 0x00, 0xE2, 0x01, 
0x01, 0x21, 0x08, 0x20, 0x01, 
0x01, 0x29, 0x08, 0x22, 0x49, 
0xFF, 0xF1, 0x08, 0x20, 0x26, 
0x01, 0x80, 0x00, 0xE2, 0x01, 
0x01, 0x41, 0x08, 0x20, 0x01, 
0xFF, 0xF1, 0x13, 0x22, 0x49, 
0x01, 0x21, 0x08, 0x20, 0x01, 
0x01, 0x61, 0x08, 0x20, 0x25, 
0x01, 0x68, 0x00, 0xE2, 0x01, 
0x01, 0x51, 0x08, 0x20, 0x01, 
0xFF, 0xF1, 0x13, 0x22, 0x49, 
0x01, 0x21, 0x08, 0x20, 0x01, 
0x01, 0x71, 0x08, 0x20, 0x25, 
0x01, 0x78, 0x00, 0xE2, 0x01, 
0x01, 0x89, 0x08, 0x20, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x01, 0x98, 0x00, 0xF0, 0x01, 
0x01, 0x99, 0x08, 0x20, 0x01, 
0xFF, 0xF1, 0x13, 0x22, 0x49, 
0x01, 0x81, 0x08, 0x20, 0x01, 
0xFF, 0xE9, 0x08, 0x20, 0x25, 
0x01, 0x80, 0x00, 0xE2, 0x01, 
0x01, 0x21, 0x08, 0x20, 0x01, 
0x01, 0x28, 0x00, 0xE2, 0x25, 
0x01, 0x31, 0x08, 0x20, 0x01, 
0x01, 0x41, 0x08, 0x22, 0x41, 
0x01, 0x90, 0x00, 0xE2, 0x01, 
0x01, 0x41, 0x08, 0x20, 0x01, 
0x01, 0x91, 0x14, 0x22, 0x01, 
0x01, 0x48, 0x00, 0xE2, 0x01, 
0x01, 0x68, 0x00, 0xC0, 0x01, 
0x00, 0x07, 0xFF, 0xA0, 0x01, 
0x01, 0x48, 0x00, 0xC0, 0x01, 
0x01, 0x07, 0xFF, 0x20, 0x81, 
0x00, 0xF0, 0x00, 0xE2, 0x01, 
0x01, 0x17, 0xFF, 0x40, 0x81, 
0x00, 0xF8, 0x00, 0xE4, 0x01, 
0xFF, 0xF1, 0x08, 0x20, 0x01, 
0xFF, 0xF7, 0xFF, 0x22, 0x41, 
0x01, 0x58, 0x00, 0xE2, 0x01, 
0x01, 0x78, 0x00, 0xC0, 0x01, 
0x00, 0x07, 0xFF, 0xA0, 0x01, 
0x01, 0x58, 0x00, 0xC0, 0x01, 
0x01, 0x07, 0xFF, 0x20, 0x81, 
0x00, 0xF1, 0x08, 0x22, 0x01, 
0x00, 0xF0, 0x00, 0xE2, 0x01, 
0x01, 0x17, 0xFF, 0x40, 0x81, 
0x00, 0xF9, 0x08, 0x44, 0x01, 
0x00, 0xF8, 0x00, 0xE4, 0x01, 
0x01, 0x31, 0x08, 0x20, 0x01, 
0x01, 0x81, 0x08, 0x22, 0x41, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x01, 0x38, 0x00, 0xF0, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x00, 0xF1, 0x08, 0x20, 0x01, 
0xFF, 0x28, 0x00, 0x02, 0x01, 
0x00, 0xF9, 0x08, 0x20, 0x01, 
0xFF, 0x30, 0x00, 0x02, 0x01, 
0x01, 0xDA, 0x07, 0x20, 0x01, 
0x01, 0xD2, 0x08, 0x22, 0x01, 
0x01, 0xC2, 0x07, 0x34, 0x01, 
0x01, 0xBA, 0x08, 0x22, 0x01, 
0x01, 0xB2, 0x04, 0x22, 0x01, 
0x01, 0xAA, 0x05, 0x22, 0x01, 
0x01, 0xA2, 0x06, 0x22, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x01, 0xC8, 0x00, 0xE2, 0x01, 
0x01, 0xE0, 0x00, 0xF2, 0x01, 
0x02, 0x0A, 0x0C, 0x20, 0x01, 
0x02, 0x02, 0x0D, 0x22, 0x01, 
0x01, 0xF2, 0x0C, 0x34, 0x01, 
0x01, 0xEA, 0x0D, 0x22, 0x01, 
0x01, 0xCA, 0x09, 0x22, 0x01, 
0x01, 0xC2, 0x0A, 0x22, 0x01, 
0x01, 0xBA, 0x0B, 0x22, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x01, 0xF8, 0x00, 0xE2, 0x01, 
0x02, 0x10, 0x00, 0xF2, 0x01, 
0x02, 0x3A, 0x11, 0x20, 0x01, 
0x02, 0x32, 0x12, 0x22, 0x01, 
0x02, 0x22, 0x11, 0x34, 0x01, 
0x02, 0x1A, 0x12, 0x22, 0x01, 
0x01, 0xFA, 0x0E, 0x22, 0x01, 
0x01, 0xF2, 0x0F, 0x22, 0x01, 
0x01, 0xEA, 0x10, 0x22, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x02, 0x28, 0x00, 0xE2, 0x01, 
0x02, 0x40, 0x00, 0xF2, 0x01, 
0x02, 0x82, 0x07, 0x20, 0x01, 
0x02, 0x7A, 0x08, 0x22, 0x01, 
0x02, 0x6A, 0x07, 0x34, 0x01, 
0x02, 0x62, 0x08, 0x22, 0x01, 
0x02, 0x5A, 0x04, 0x22, 0x01, 
0x02, 0x52, 0x05, 0x22, 0x01, 
0x02, 0x4A, 0x06, 0x22, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x02, 0x70, 0x00, 0xE2, 0x01, 
0x02, 0x88, 0x00, 0xF2, 0x01, 
0x02, 0xB2, 0x0C, 0x20, 0x01, 
0x02, 0xAA, 0x0D, 0x22, 0x01, 
0x02, 0x9A, 0x0C, 0x34, 0x01, 
0x02, 0x92, 0x0D, 0x22, 0x01, 
0x02, 0x72, 0x09, 0x22, 0x01, 
0x02, 0x6A, 0x0A, 0x22, 0x01, 
0x02, 0x62, 0x0B, 0x22, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x02, 0xA0, 0x00, 0xE2, 0x01, 
0x02, 0xB8, 0x00, 0xF2, 0x01, 
0x02, 0xE2, 0x11, 0x20, 0x01, 
0x02, 0xDA, 0x12, 0x22, 0x01, 
0x02, 0xCA, 0x11, 0x34, 0x01, 
0x02, 0xC2, 0x12, 0x22, 0x01, 
0x02, 0xA2, 0x0E, 0x22, 0x01, 
0x02, 0x9A, 0x0F, 0x22, 0x01, 
0x02, 0x92, 0x10, 0x22, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
0x02, 0xD0, 0x00, 0xE2, 0x01, 
0x02, 0xE8, 0x00, 0xF2, 0x01, 
0xFF, 0xF2, 0x1A, 0x20, 0x01, 
0x03, 0xA1, 0x08, 0x22, 0x41, 
0x03, 0xC0, 0x00, 0xE2, 0x01, 
0x03, 0xB1, 0x08, 0x20, 0x01, 
0x03, 0xA1, 0x08, 0x34, 0x01, 
0x03, 0xC1, 0x14, 0x22, 0x01, 
0x00, 0x00, 0x00, 0x00, 0x01, 
